e
M0007
Pda8000000 ;ba7F188FCp,14,215,40
Pda2AF6260n;ba7F544DFp,10,20C,44
Pda263CB68n;ba7F590D5p,10,20C,44
Pda2183470n;ba7F4B4A7p,10,20C,44
Pda1CC9D70n;ba7F4E68Fp,10,20C,45
Pda1810678n;ba7F41BFEp,10,20C,45
Pda1356F80n;ba7F41F4Cp,10,20C,46
Pda0E9D880n;ba7F378B1p,10,20C,45
Pda09E4188n;ba7F33B69p,10,20C,46
Pda052AA90n;ba7F2CEC9p,10,20C,45
Pda0071390n;ba7F24C25p,10,20C,46
Pda7FDE22Du;ba7F20B31p,10,20C,45
Pda7FDCED3u;ba7F153B5p,10,20C,45
Pda7FDBB79u;ba7F13A05p,10,20C,44
Pda7FDA81Fu;ba7F0567Fp,10,20C,45
Pda7FD94C5u;ba7F05218p,10,20C,44
Pda7FD816Bu;ba7EF5541p,10,20C,45
Pda7FD6E12u;ba7EF5E6Dp,10,20C,44
Pda7FD5AB8u;ba7EE4DC5p,10,20C,44
Pda7FD475Eu;ba7EE5F04p,10,20C,44
Pda7FD3404u;ba7ED4126p,10,20C,44
Pda7FD20AAu;ba7ED50EDp,10,20C,44
Pda7FD0D50u;ba7EC3776p,10,20C,44
Pda7FCF9F6u;ba7EC2F63p,10,20C,45
Pda7FCE69Du;ba7EB30B6p,10,20C,45
Pda7FCD343u;ba7EAFC3Cp,10,20C,46
Pda7FCBFE9u;ba7EA293Ap,10,20C,45
Pda7FCAC8Fu;ba7E9B4E6p,10,20C,46
Pda7FC9935u;ba7E92103p,10,20C,45
Pda7FC85DBu;ba7E86C76p,10,20C,46
Pda7FC7282u;ba7E804FAp,10,20C,45
Pda7FC5F28u;ba7E71C51p,10,20C,45
Pda7FC4BCEu;ba7E6E0DEp,10,20C,44
Pda7FC3874u;ba7E5CEBEp,10,20C,45
Pda7FC251Au;ba7E5A7D8p,10,20C,44
Pda7FC11C0u;ba7E47F55p,10,20C,45
Pda7FBFE66u;ba7E46603p,10,20C,44
Pda7FBEB0Du;ba7E328F3p,10,20C,44
Pda7FBD7B3u;ba7E31756p,10,20C,44
Pda7FBC459u;ba7E1CE88p,10,20C,44
Pda7FBB0FFu;ba7E1B99Dp,10,20C,45
Pda7FB9DA5u;ba7E0799Ep,10,20C,44
Pda7FB8A4Bu;ba7E04814p,10,20C,45
Pda7FB76F1u;ba7DF23F8p,10,20C,45
Pda7FB6398u;ba7DEC375p,10,20C,46
Pda7FB76F1u;ba7E0CE05p,10,20C,46
Pda7FB8A4Bu;ba7E2B617p,10,20C,46
Pda7FB9DA5u;ba7E45522p,10,20C,46
Pda7FBB0FFu;ba7E59F67p,10,20C,45
Pda7FBC459u;ba7E72987p,10,20C,45
Pda7FBD7B3u;ba7E8105Ap,10,20C,45
Pda7FBEB0Du;ba7E999BEp,10,20C,45
Pda7FBFE66u;ba7EA34F8p,10,20C,44
Pda7FC11C0u;ba7EBB127p,10,20C,45
Pda7FC251Au;ba7EC1AD6p,10,20C,44
Pda7FC3874u;ba7ED900Cp,10,20C,44
Pda7FC4BCEu;ba7EDD15Ep,10,20C,44
Pda7FC5F28u;ba7EF3C4Cp,10,20C,44
Pda7FC7282u;ba7EF6566p,10,20C,44
Pda7FC85DBu;ba7F0BF73p,10,20C,44
Pda7FC9935u;ba7F0E30Cp,10,20C,45
Pda7FCAC8Fu;ba7F21577p,10,20C,45
Pda7FCBFE9u;ba7F251A6p,10,20C,46
Pda7FCD343u;ba7F34CA8p,10,20C,45
Pda7FCE69Du;ba7F3B424p,10,20C,46
Pda7FCF9F6u;ba7F4632Fp,10,20C,45
Pda7FD0D50u;ba7F50505p,10,20C,46
Pda7FD20AAu;ba7F57260p,10,20C,45
Pda7FD3404u;ba7F63E0Bp,10,20C,45
Pda7FD475Eu;ba7F6739Fp,10,20C,45
Pda7FD5AB8u;ba7F765D2p,10,20C,45
Pda7FD6E12u;ba7F774DEp,10,20C,44
Pda7FD816Bu;ba7F877F2p,10,20C,45
Pda7FD94C5u;ba7F86E68p,10,20C,44
Pda7FDA81Fu;ba7F97DF6p,10,20C,45
Pda7FDBB79u;ba7F9609Bp,10,20C,44
Pda7FDCED3u;ba7FA75ABp,10,20C,44
Pda7FDE22Du;ba7FA4EC5p,10,20C,44
Pda0071390n;ba7FB5D39p,10,20C,44
Pda052AA90n;ba7FB3F80p,10,20C,45
Pda09E4188n;ba7FC2C32p,10,20C,45
Pda0E9D880n;ba7FC303Bp,10,20C,46
Pda1356F80n;ba7FCE92Fp,10,20C,45
Pda1810678n;ba7FD203Bp,10,20C,46
Pda1CC9D70n;ba7FD8F6Cp,10,20C,45
Pda2183470n;ba03BC5D8f,10,20C,46
Pda263CB68n;ba0F78ED0f,14,20C,45
Pda2AF6260n;ba35E8488f,14,20C,45
Pda2FAF958n;ba3547BC0f,14,20C,44
Pda3469058n;ba642309Cf,14,20C,45
Pda3922758n;ba5A48204f,14,20C,44
Pda3DDBE48n;ba8CA1EA5f,14,20C,45
Pda4295548n;ba7CF430Df,14,20C,44
Pda474EC40n;baB1FE0C0f,14,20C,45
Pda4C0833Cn;ba9D90BCEf,14,20C,44
Pda50C1A38n;baD352148f,14,20C,44
Pda557B130n;baBCEC2FCf,14,20C,44
Pda5A3482Cn;baF042448f,14,20C,44
Pda5EEDF24n;baDCE82F0f,14,20C,45
Pda63A7620n;ba8022C53p,10,20C,45
Pda6860D1Cn;baFD56DC8f,10,20C,46
Pda6D1A416n;ba8027EE4p,10,20C,45
Pda71D3B10n;ba8028989p,10,20C,46
Pda768D20Bn;ba802C094p,10,20C,45
Pda7B46906n;ba8030881p,10,20C,46
Pda8000000 ;ba8030823p,10,20C,45
Pda84B96FAn;ba8037C78p,10,20C,45
Pda8972DF5n;ba8034DDDp,10,20C,44
Pda8E2C4F0n;ba803E741p,10,20C,45
Pda92E5BEAn;ba8039A8Fp,10,20C,44
Pda979F2E4n;ba8044477p,10,20C,45
Pda9C589E0n;ba803E56Cp,10,20C,44
PdaA1120DCn;ba8049DA3p,10,20C,45
PdaA5CB7D4n;ba8042FEAp,10,20C,44
PdaAA84ED0n;ba804EEBDp,10,20C,44
PdaAF3E5C8n;ba8047D58p,10,20C,45
PdaB3F7CC4n;ba8053419p,10,20C,44
PdaB8B13C0n;ba804D395p,10,20C,45
PdaBD6AAB8n;ba805694Ep,10,20C,45
PdaC2241B8n;ba8052E97p,10,20C,46
PdaC6DD8A8n;ba80594FAp,10,20C,45
PdaCB96FA8n;ba80592C6p,10,20C,46
PdaD0506A8n;ba805B545p,10,20C,45
PdaD509DA0n;ba805ED6Ap,10,20C,46
PdaD9C3498n;ba805DAB3p,10,20C,45
PdaDE7CB90n;ba80640B8p,10,20C,45
PdaE336290n;ba8060311p,10,20C,44
PdaE7EF988n;ba8068BF2p,10,20C,45
PdaECA9080n;ba806349Bp,10,20C,44
PdaF162780n;ba806CE00p,10,20C,45
PdaF61BE78n;ba80663F2p,10,20C,44
PdaFAD5570n;ba8070C05p,10,20C,44
PdaFF8EC70n;ba8069405p,10,20C,44
Pda8021DD3u;ba807442Ap,10,20C,44
Pda802312Du;ba806C8DDp,10,20C,44
Pda8024487u;ba80770EFp,10,20C,44
Pda80257E1u;ba8070859p,10,20C,45
Pda8026B3Bu;ba8078F65p,10,20C,45
Pda8027E95u;ba8074C3Dp,10,20C,46
Pda80291EEu;ba807A3F1p,10,20C,45
Pda802A548u;ba8079A09p,10,20C,46
Pda802B8A2u;ba807B185p,10,20C,45
Pda802CBFCu;ba807DF06p,10,20C,46
Pda802DF56u;ba807C72Cp,10,20C,45
Pda802F2B0u;ba8082059p,10,20C,45
Pda803060Au;ba807DB5Bp,10,20C,44
Pda8031963u;ba8085706p,10,20C,45
Pda8032CBDu;ba807F9D0p,10,20C,44
Pda8034017u;ba8088719p,10,20C,45
Pda8035371u;ba80816CEp,10,20C,44
Pda80366CBu;ba808B322p,10,20C,44
Pda8037A25u;ba8083487p,10,20C,44
Pda8038D7Eu;ba808D9AAp,10,20C,44
Pda803A0D8u;ba80857C2p,10,20C,44
Pda803B432u;ba808F58Ep,10,20C,44
Pda803C78Cu;ba80886BBp,10,20C,45
Pda803DAE6u;ba809049Ap,10,20C,45
Pda803EE40u;ba808B9BDp,10,20C,46
Pda804019Au;ba8090845p,10,20C,45
Pda80414F3u;ba808F6A8p,10,20C,46
Pda804284Du;ba80906CDp,10,20C,45
Pda8043BA7u;ba8092A66p,10,20C,46
Pda8044F01u;ba8090A1Bp,10,20C,45
Pda804625Bu;ba8095AD7p,10,20C,45
Pda80475B5u;ba8091058p,10,20C,44
Pda804890Fu;ba809815Fp,10,20C,45
Pda8049C68u;ba8091FC2p,10,20C,44
Pda804890Fu;ba807DA41p,10,20C,44
Pda80475B5u;ba8062C2Bp,10,20C,44
Pda804625Bu;ba805C6E2p,10,20C,44
Pda8044F01u;ba804719Ap,10,20C,44
Pda8043BA7u;ba8045CAFp,10,20C,44
Pda804284Du;ba8033371p,10,20C,44
Pda80414F3u;ba8033C9Dp,10,20C,45
Pda804019Au;ba8024836p,10,20C,45
Pda803EE40u;ba8024C40p,10,20C,45
Pda803DAE6u;baE21A730f,14,20C,45
Pda803C78Cu;baDC02D48f,14,20C,46
Pda803B432u;baC10B390f,14,20C,45
Pda803A0D8u;baAF092C8f,14,20C,46
Pda8038D7Eu;baA3BF4ACf,14,20C,45
Pda8037A25u;ba89236D9f,14,20C,45
Pda80366CBu;ba8B8EB04f,14,20C,44
Pda8035371u;ba681433Ef,14,20C,45
Pda8034017u;ba741591Cf,14,20C,44
Pda8032CBDu;ba4C651CCf,14,20C,45
Pda8031963u;ba5E67298f,14,20C,44
Pda803060Au;ba32F3690f,14,20C,44
Pda802F2B0u;ba4A10C98f,14,20C,44
Pda802DF56u;ba1C1AD70f,14,20C,44
Pda802CBFCu;ba35FF388f,14,20C,44
Pda802B8A2u;ba0820358f,10,20C,44
Pda802A548u;ba200C018f,14,20C,45
Pda80291EEu;ba7FDD40Bp,10,20C,44
Pda8027E95u;ba0892E28f,10,20C,45
Pda8026B3Bu;ba7FD9BE6p,10,20C,45
Pda80257E1u;ba7FDAC69p,10,20C,46
Pda8024487u;ba7FD7154p,10,20C,45
Pda802312Du;ba7FD4431p,10,20C,46
Pda8021DD3u;ba7FD3C1Ep,10,20C,45
PdaFF8EC70n;ba7FCE17Ap,10,20C,45
PdaFAD5570n;ba7FD091Cp,10,20C,44
PdaF61BE78n;ba7FC84A2p,10,20C,45
PdaF162780n;ba7FCC9FEp,10,20C,44
PdaECA9080n;ba7FC303Bp,10,20C,45
PdaE7EF988n;ba7FC890Ap,10,20C,44
PdaE336290n;ba7FBDBD4p,10,20C,44
PdaDE7CB90n;ba7FC440Cp,10,20C,44
PdaD9C3498n;ba7FB8B76p,10,20C,44
PdaD509DA0n;ba7FBFCDBp,10,20C,44
PdaD0506A8n;ba7FB43E7p,10,20C,44
PdaCB96FA8n;ba7FBA4C8p,10,20C,45
PdaC6DD8A8n;ba7FB075Ap,10,20C,45
PdaC2241B8n;ba7FB4445p,10,20C,46
PdaBD6AAB8n;ba7FAD0ADp,10,20C,45
PdaB8B13C0n;ba7FAD7A6p,10,20C,46
PdaB3F7CC4n;ba7FAA445p,10,20C,45
PdaAF3E5C8n;ba7FA6D98p,10,20C,46
PdaAA84ED0n;ba7FA6AA8p,10,20C,45
PdaA5CB7D4n;ba7FA06D7p,10,20C,45
PdaA1120DCn;ba7FA3459p,10,20C,44
Pda9C589E0n;ba7F9A6B2p,10,20C,45
Pda979F2E4n;ba7F9EFB9p,10,20C,44
Pda92E5BEAn;ba7F94EA0p,10,20C,45
Pda8E2C4F0n;ba7F9AA00p,10,20C,44
Pda8972DF5n;ba7F8F7A7p,10,20C,44
Pda84B96FAn;ba7F9609Bp,10,20C,44
Pda8000000 ;ba7F8A3FCp,10,20C,44
-
*
